startup,signal_type,date,title,summary,sources,source_count,funding_amount_musd,funding_stage
NimbusAI,funding,2026-06-02,NimbusAI raises $18M Series A led by Sequoia to scale enterprise data agents,"NimbusAI, a startup building autonomous data agents for enterprises, today announced it has raised $18 million in a Series A round led by Sequoia Capital, with participation from existing seed investors. The company plans to use the funding to expand its engineering team.",NimbusAI Blog; StartupDirectoryX; TechCrunch,3,18.0,series a
NimbusAI,hiring,2026-06-02,We raised our Series A — here's what's next,"We're thrilled to share that NimbusAI has raised $18M in Series A funding led by Sequoia. We're also hiring aggressively across engineering, sales, and customer success as we expand our team from 24 to 60 people over the next year.",NimbusAI Blog,1,,
NimbusAI,product_launch,2026-06-20,NimbusAI launches autonomous workflow builder in general availability,"NimbusAI today announced the general availability of its no-code autonomous workflow builder, letting enterprise teams deploy AI agents without engineering support. The product had been in private beta since March.",TechCrunch,1,,
GreenGrid Energy,funding,2026-05-14,GreenGrid Energy secures $42M Series B to expand battery storage network,"GreenGrid Energy, Inc. announced today the completion of a $42 million Series B financing round led by Breakthrough Energy Ventures, with participation from Lowercarbon Capital. This brings the company's total funding to date to $61 million.",GreenGrid Press Release; VentureBeat,2,42.0,series b
GreenGrid Energy,partnership,2026-06-10,GreenGrid Energy partners with Duke Energy on grid modernization pilot,"GreenGrid Energy announced a new partnership with Duke Energy to pilot its battery storage technology across five substations in North Carolina, marking the startup's first major utility partnership.",EnergyNewsDaily,1,,
GreenGrid Energy,funding,2026-07-01,GreenGrid Energy is hiring: 15 open roles in engineering and field operations,"GreenGrid Energy has posted 15 new job openings as it expands its team following its Series B raise, with roles spanning battery engineering, field operations, and data science.",StartupDirectoryX,1,0.0,series b
GreenGrid Energy,hiring,2026-07-01,GreenGrid Energy is hiring: 15 open roles in engineering and field operations,"GreenGrid Energy has posted 15 new job openings as it expands its team following its Series B raise, with roles spanning battery engineering, field operations, and data science.",StartupDirectoryX,1,,
Solstice Health,funding,2026-04-22,Solstice Health raises $6M seed round for AI-powered clinical documentation,"Solstice Health, a startup automating clinical documentation for small medical practices, has raised a $6 million seed round led by a16z Bio + Health. The company was founded in 2025 by two former hospital administrators.",TechCrunch,1,6.0,seed
Solstice Health,product_launch,2026-06-15,Solstice Health appoints new Chief Medical Officer amid rapid growth,"Solstice Health announced Dr. Amara Osei has joined as its new Chief Medical Officer, as the startup scales its clinical documentation platform to over 200 practices nationwide.",MedTechWire,1,,
Solstice Health,funding,2026-07-05,Introducing Solstice Notes: real-time ambient documentation,"Today we're launching Solstice Notes, an ambient AI documentation tool that listens during patient visits and drafts clinical notes automatically. This is our biggest product launch since our seed round.",Solstice Blog,1,0.0,seed
Solstice Health,product_launch,2026-07-05,Introducing Solstice Notes: real-time ambient documentation,"Today we're launching Solstice Notes, an ambient AI documentation tool that listens during patient visits and drafts clinical notes automatically. This is our biggest product launch since our seed round.",Solstice Blog,1,,
PayFlux,funding,2026-03-11,PayFlux raises $70M Series C at a $600M valuation,"Fintech infrastructure company PayFlux has raised $70 million in a Series C round at a $600 million valuation, led by Tiger Global. PayFlux provides embedded payments infrastructure for marketplaces.",TechCrunch,1,70.0,series c
